"","MSACC","year","houseid","income","race","hispanic","reported","serious"
"40844",17,"1982",1,5,2,2,2,63
"40945",24,"1982",3,2,2,2,2,65
"40948",24,"1982",3,2,2,2,2,64
"40949",24,"1982",3,2,2,2,2,62
"40983",24,"1982",1,1,2,2,2,68
"41286",17,"1982",4,1,2,2,2,65
"41287",17,"1982",4,1,2,2,2,65
"41290",17,"1982",4,1,2,2,2,65
"41381",26,"1982",1,1,2,2,2,67
"41407",26,"1982",1,1,2,2,2,68
"41418",26,"1982",1,2,2,2,2,67
"41419",26,"1982",1,2,2,2,2,68
"41521",21,"1982",2,2,2,1,2,68
"41530",21,"1982",4,1,2,2,2,64
"41531",21,"1982",2,3,2,2,2,65
"41548",21,"1982",1,1,2,2,2,64
"41556",21,"1982",2,98,2,2,2,65
"41576",21,"1982",1,3,2,2,2,68
"41852",12,"1982",2,2,2,2,2,64
"41853",12,"1982",2,2,2,2,2,67
"41893",12,"1982",1,3,2,2,2,68
"41894",12,"1982",1,3,2,2,2,67
"41988",7,"1982",3,2,2,2,2,68
"41989",7,"1982",3,2,2,2,2,68
"42181",2,"1982",2,1,2,2,2,68
"42194",15,"1982",2,3,2,2,2,65
"42252",3,"1982",1,6,2,2,2,68
"42286",39,"1982",1,1,2,2,2,64
"42291",39,"1982",1,1,2,2,2,67
"42366",39,"1982",4,5,2,2,2,65
"42367",39,"1982",4,5,2,2,2,68
"42565",17,"1982",1,3,2,2,2,64
"43006",21,"1982",1,1,2,2,2,64
"43009",21,"1982",1,2,2,2,2,64
"43041",21,"1982",1,5,2,2,2,68
"43114",26,"1982",1,98,2,2,2,68
"43115",26,"1982",1,98,2,2,2,64
"43117",26,"1982",1,98,2,2,2,64
"43320",4,"1982",2,2,2,2,2,68
"43406",21,"1982",2,1,2,2,2,65
"43414",21,"1982",1,2,2,2,2,64
"43453",21,"1982",1,1,2,2,2,65
"43462",21,"1982",1,2,2,2,2,65
"43471",21,"1982",1,2,2,2,2,64
"43475",21,"1982",1,3,2,2,2,64
"43476",21,"1982",2,2,2,2,2,64
"43477",21,"1982",2,2,2,2,2,64
"43497",21,"1982",1,1,2,2,2,64
"43579",21,"1982",1,3,2,2,2,64
"43597",21,"1982",1,2,2,2,2,64
"43605",21,"1982",1,3,2,2,2,68
"43606",21,"1982",1,3,2,2,2,67
"43737",20,"1982",1,98,2,2,2,68
"43866",21,"1982",1,3,2,2,2,68
"43920",22,"1982",2,2,2,2,2,63
"44181",32,"1982",2,1,2,2,2,68
"44184",32,"1982",2,1,2,2,2,64
"44190",32,"1982",1,1,2,2,2,64
"44294",8,"1982",1,1,2,2,2,68
"44361",6,"1982",1,1,2,2,2,65
"44388",6,"1982",1,1,2,2,2,68
"44389",6,"1982",1,1,2,2,2,68
"44455",6,"1982",1,1,2,2,2,68
"44458",6,"1982",2,98,2,2,2,68
"44463",6,"1982",1,1,2,2,2,68
"44473",6,"1982",1,1,2,2,2,65
"44474",6,"1982",1,1,2,2,2,68
"44479",6,"1982",1,2,2,2,2,65
"44521",6,"1982",1,1,2,2,2,65
"44591",12,"1982",2,98,2,2,2,64
"44616",12,"1982",1,1,2,2,2,62
"44621",12,"1982",1,1,2,2,2,68
"44643",12,"1982",1,3,2,2,2,64
"45214",18,"1982",2,2,2,2,2,65
"45267",14,"1982",1,1,2,2,2,62
"45288",14,"1982",1,98,2,2,2,65
"45358",10,"1982",1,2,2,2,2,68
"45370",10,"1982",1,1,2,2,2,67
